Distance/m,Elevation of N2/m,Elevation of N3/m,Elevation of N4/m,Elevation of N5/m,Elevation of N6/m,Elevation of N7/m,Elevation of N8/m
449,,,-1.927085706,-2.20753969,,,
450,,,-1.937598305,-2.22852585,,,
451,,,-1.948110903,-2.24951201,,,
452,,,-1.958623502,-2.271866754,,,
453,,,-1.9691361,-2.294593795,,,
454,,,-1.979648699,-2.317320835,,,
455,,,-1.990161297,-2.340047875,,,
456,,,-2.000673896,-2.357352293,,,
457,,,-2.011186495,-2.372266919,,,
458,,,-2.021699093,-2.387181545,,,
459,,,-2.032211692,-2.402096172,,,
460,,,-2.04272429,-2.417010798,,,
461,,,-2.053236889,,,,
462,,,-2.063749488,,,,
463,,,-2.074262086,,,,
464,,,-2.084774685,,,,
465,,,-2.064218074,,,,
466,,,-2.029910386,,,,
467,,,-1.995602698,,,,
468,,,-1.96129501,,,,
469,,,-1.926987322,,,,
470,,,-1.892679634,,,,
471,,,-1.892850464,,,,
472,,,-1.89846704,,,,
473,,,-1.904083616,,,,
474,,,-1.909700192,,,,
475,,,-1.915316768,,,,
476,,,-1.920933344,,,,
477,,,-1.92654992,,,,
478,,,-1.932166496,,,,
479,,,-1.938545324,,,,
480,,,-1.945056982,,,,
481,,,-1.951568641,,,,
482,,,-1.9580803,,,,
483,,,-1.964591958,,,,
484,,,-1.971103617,,,,
485,,,-1.977448439,,,,
486,,,-1.982194416,,,,
487,,,-1.986940392,,,,
488,,,-1.991686368,,,,
489,,,-1.996432344,,,,
490,,,-2.00117832,,,,
491,,,-2.005924296,,,,
492,,,-2.010670272,,,,
493,,,-2.043715494,,,,
494,,,-2.104046627,,,,
495,,,-2.16437776,,,,
496,,,-2.224708893,,,,
497,,,-2.285040026,,,,
498,,,-2.345371159,,,,
