Image no,Image name,SentinelC1,SentinelC2,SentinelC3,SentinelC4,SentinelC5,SentinelC6,SentinelC7,SentinelC8,SentinelC9
585,20170601T024551_20170601T025554_T51STV.tif,94.58163,152.1861,147.2898,124.3192,126.3664,110.3826,22.54306,268.2589,299.6901
591,20170711T024551_20170711T025552_T51STV.tif,100.3665,157.1329,152.5862,131.0498,132.8627,113.1029,30.82985,275.328,303.1262
594,20170726T025719_20170726T025722_T51STV.tif,106.8745,161.7299,160.0948,135.9014,135.2021,119.2666,34.53923,276.6566,305.9332
597,20170810T025721_20170810T025724_T51STV.tif,,,,,,116.2388,,279.7589,
602,20171024T024739_20171024T024947_T51STV.tif,104.1267,162.7882,159.581,136.3331,136.7635,114.1178,31.6354,274.8944,308.091
604,20171029T025721_20171029T025722_T51STV.tif,106.7298,165.9743,162.8211,136.8411,136.6976,122.3751,33.04628,279.3102,309.6202
606,20171108T024921_20171108T025126_T51STV.tif,106.7298,166.3268,166.1724,139.3544,137.1524,122.7537,34.71997,282.4066,310.1856
607,20171123T025009_20171123T025106_T51STV.tif,103.0421,162.7882,158.7316,135.2403,133.8381,118.3854,30.82985,277.5403,307.8605
609,20171128T025041_20171128T025246_T51STV.tif,105.4282,164.5599,162.061,136.1802,135.2679,117.577,30.38631,276.2177,303.4605
611,20171208T025721_20171208T025717_T51STV.tif,104.5605,162.7943,159.2454,135.1642,134.3588,118.6377,27.0218,276.2138,305.6188
613,20171218T025121_20171218T025325_T51STV.tif,103.6205,160.3157,152.854,135.0878,133.8711,117.7288,28.53196,276.2155,305.9332
617,20180112T025049_20180112T025254_T51STV.tif,106.8021,162.0873,160.6084,134.5798,132.5735,118.259,29.41896,277.0996,307.9444
620,20180201T024929_20180201T025132_T51STV.tif,110.1284,167.3869,162.9107,138.9994,136.731,123.0886,31.89764,283.2868,309.7036
622,20180211T024829_20180211T025320_T51STV.tif,109.1883,166.0599,163.4245,137.7043,135.3339,123.0886,32.52129,279.7511,310.5838
624,20180226T024651_20180226T024652_T51STV.tif,105.9344,161.6405,160.0948,132.8529,134.3918,119.0672,27.56399,274.8889,306.9805
627,20180313T024539_20180313T025637_T51STV.tif,110.7069,166.9457,165.0554,138.6442,137.6068,123.3348,37.98637,281.9561,311.8615
628,20180323T024539_20180323T025358_T51STV.tif,106.8745,166.9457,161.0334,136.2568,136.144,120.1276,34.0957,280.6349,310.5838
630,20180328T024651_20180328T024825_T51STV.tif,100.3665,159.4298,157.6146,131.4816,130.6228,116.5422,,275.3258,302.0151
631,20180402T024539_20180402T025132_T51STV.tif,111.2131,169.1564,167.3574,138.7207,,121.7185,,281.5169,313.223
632,20180407T024551_20180407T025136_T51STV.tif,101.7405,161.2015,161.5471,133.8692,133.3502,115.2036,,277.5347,305.4517
634,20180417T024551_20180417T025640_T51STV.tif,105.9344,160.3157,157.7037,132.8529,133.3502,118.0068,29.15623,279.308,307.7767
637,20180427T024551_20180427T025641_T51STV.tif,101.6681,155.8942,152.4078,131.3286,131.6311,115.6077,31.01119,271.3591,301.5336
640,20180601T024539_20180601T025121_T51STV.tif,104.8498,156.78,152.9218,128.9412,132.4411,114.0171,29.15623,274.4439,299.2719
642,20180606T024651_20180606T025556_T51STV.tif,105.4282,156.78,154.2848,132.7766,133.8711,117.6027,31.97855,276.2138,305.4517
643,20180611T024549_20180611T025246_T51STV.tif,101.0897,158.1087,153.8601,131.4052,,116.7945,29.68121,276.2138,305.4517
644,20180621T024549_20180621T025018_T51STV.tif,102.5359,158.5478,154.4636,131.837,133.3502,116.7945,31.45466,276.2138,305.4517
645,20180706T024551_20180706T025126_T51STV.tif,105.2836,159.4298,155.4911,131.837,133.8711,117.1986,30.04268,276.2138,305.9332
647,20180810T024539_20180810T025301_T51STV.tif,107.5975,161.1996,157.2791,134.3009,133.8711,118.0068,32.52129,281.078,310.7308
649,20180825T024551_20180825T025135_T51STV.tif,105.4282,160.7586,157.7037,131.9131,,117.1986,31.6354,277.9816,303.692
650,20180830T024539_20180830T025025_T51STV.tif,107.2359,163.857,160.0948,141.0316,137.6402,120.254,35.78715,277.9816,309.0545
652,20180904T024541_20180904T025134_T51STV.tif,106.4406,162.0815,157.793,135.7487,134.7472,117.9813,34.9827,277.5403,304.8858
653,20180909T024539_20180909T025224_T51STV.tif,110.0561,163.4102,164.5415,140.955,139.0039,121.971,37.54284,281.9638,311.9252
657,20180929T024539_20180929T024837_T51STV.tif,102.5359,156.78,153.9495,133.7928,132.962,117.6027,30.04268,273.1248,304.9697
659,20181004T024541_20181004T025132_T51STV.tif,105.356,160.3176,158.3068,137.7809,134.3588,119.5976,30.74839,276.6605,305.535
661,20181019T024719_20181019T025734_T51STV.tif,108.6821,160.3176,161.5471,138.289,134.3257,118.259,31.45466,277.9833,309.0545
663,20181024T024751_20181024T024908_T51STV.tif,108.1037,162.5263,157.793,140.5237,136.144,122.2487,35.86922,278.8652,310.6474
