Image no,Image name,Date,Tidal height,H1-Waterline,H1-Bar,H1-Breaker,H2-Waterline,H2-Bar,H2-Breaker,H3-Waterline,H3-Breaker,H4-Waterline,H4-Breaker
418,LT05_120035_20110923.tif,2011/9/23,0.436921846,183.0819,,,177.0078,,,172.413,,174.082,
419,LE07_120035_20111017.tif,2011/10/17,-0.414333174,184.0842,,,187.4037,,,188.0129,,197.6617,
420,LE07_120035_20111204.tif,2011/12/4,0.131539018,196.4884,,,192.3929,,,183.8863,,,
421,LE07_120035_20120105.tif,2012/1/5,-0.722257507,201.588,,,207.9318,,,222.6279,,,
422,LE07_120035_20120121.tif,2012/1/21,-1.626638067,222.3746,,,,,,,,,
423,LE07_120035_20120325.tif,2012/3/25,-0.938857103,186.0013,,,204.857,,,230.0085,,,
424,LE07_120035_20120528.tif,2012/5/28,1.0631506,178.8845,,,184.8993,,,171.5147,,,
425,LE07_120035_20120816.tif,2012/8/16,-0.471723373,182.7185,,,190.3659,,,,,293.157,
426,LE07_120035_20120901.tif,2012/9/1,-1.135418952,187.0913,,,,,,,,,
427,LE07_120035_20121104.tif,2012/11/4,-0.499360868,192.5667,,,207.1412,,,196.6053,369.0769,216.0609,370.8162
428,LE07_120035_20121206.tif,2012/12/6,0.256905545,191.013,,,199.2051,,,,,,
429,LE07_120035_20130107.tif,2013/1/7,0.176258814,181.8038,,,185.0589,,,174.3306,,,
430,LE07_120035_20130123.tif,2013/1/23,-0.886901759,,,,,,,,,,
431,LC08_119035_20130320.tif,2013/3/20,0.498032519,180.438,,,188.6804,,,181.3089,,180.2744,
432,LC08_120035_20130407.tif,2013/4/7,-0.600032539,224.6254,,,,,,,,,
433,LE07_120035_20130413.tif,2013/4/13,-0.606099262,194.2958,,433.272,200.0912,,377.7934,,350.5528,218.1654,344.0927
434,LC08_120035_20130421.tif,2013/4/21,0.154383411,186.0889,,,197.6998,,231.4902,179.2851,,179.9496,222.9176
435,LE07_120035_20130819.tif,2013/8/19,-0.294424054,190.7373,,,200.0001,,,199.6598,,272.6527,
436,LC08_120035_20130827.tif,2013/8/27,0.824246997,180.1625,,,187.1315,,,165.7994,204.4621,189.8879,
437,LE07_120035_20131006.tif,2013/10/6,-1.58757755,,,442.4812,219.178,286.3686,418.2053,339.0907,402.4398,339.763,
438,LE07_120035_20131107.tif,2013/11/7,-1.02448075,189.0961,,,203.7812,,,191.0545,,,
